Name,Artist,Album,Track Number
773 Love,Jeremih,773 Love,1
Water Me,FKA twigs,Water Me,1
Real Talk,R. Kelly,Double Up,10
773 Love,Jeremih,773 Love,1
Royals,Lorde,The Love Club EP,2
Recover,CHVRCHES,Recover - EP,1
Cruel Intentions (Maurice Fulton remix),Simian Mobile Disco,Cruel Intentions,8
Party Girl,Asher Roth,Party Girl,1
Tommie Sunshine's Megasix Smash-Up,Katy Perry,Teenage Dream: The Complete Confection,19
1st Place,"Curren$y, The Jets, Trademark Da Skydiver, Young Roddy, Mikey Rocks","1st Place (feat. Curren$y, Trademark Da Skydiver, Young Roddy & Mikey Rocks) - Single",1
Turn On The Lights,Future,Pluto 3D,5
