Name,Artist,Album,Track Number
I Heard It Through The Grapevine (Live),Marvin Gaye,#1 Monster Hits (Re-Recorded / Remastered Versions),41
It's Too Late,The Isley Brothers,"Brother, Brother, Brother",7
Romance Without Finance (Single Version / Mono),The Temptations,"The Complete Motown Singles, Volume 1: 1959-1961",105
